Experiment,Load_Factor,Algorithm,Drop_Rate,Avg_Latency_us,P99_Latency_us,Retries,Delivered,Buffer_Size,Raw_Latency_us
CDF_Raw,,ECMP,,,,,,,109.84000000000003
CDF_Raw,,ECMP,,,,,,,109.96800000000003
CDF_Raw,,ECMP,,,,,,,110.09600000000002
CDF_Raw,,ECMP,,,,,,,110.11200000000004
CDF_Raw,,ECMP,,,,,,,110.22400000000002
CDF_Raw,,ECMP,,,,,,,110.24000000000002
CDF_Raw,,ECMP,,,,,,,110.35200000000002
CDF_Raw,,ECMP,,,,,,,110.48000000000002
CDF_Raw,,ECMP,,,,,,,110.608
CDF_Raw,,ECMP,,,,,,,110.736
CDF_Raw,,ECMP,,,,,,,110.864
CDF_Raw,,ECMP,,,,,,,110.99199999999999
CDF_Raw,,ECMP,,,,,,,111.11999999999999
CDF_Raw,,ECMP,,,,,,,111.24799999999999
CDF_Raw,,ECMP,,,,,,,118.45600000000006
CDF_Raw,,ECMP,,,,,,,128.11200000000002
CDF_Raw,,ECMP,,,,,,,136.45600000000002
CDF_Raw,,ECMP,,,,,,,145.456
CDF_Raw,,ECMP,,,,,,,149.11199999999997
CDF_Raw,,ECMP,,,,,,,149.23999999999998
CDF_Raw,,ECMP,,,,,,,149.368
CDF_Raw,,ECMP,,,,,,,149.49599999999998
CDF_Raw,,ECMP,,,,,,,149.624
CDF_Raw,,ECMP,,,,,,,149.752
CDF_Raw,,ECMP,,,,,,,149.88000000000002
CDF_Raw,,ECMP,,,,,,,150.00800000000004
CDF_Raw,,ECMP,,,,,,,150.13600000000005
CDF_Raw,,ECMP,,,,,,,150.26400000000004
CDF_Raw,,ECMP,,,,,,,150.39200000000005
CDF_Raw,,ECMP,,,,,,,150.52000000000007
CDF_Raw,,ECMP,,,,,,,150.64800000000008
CDF_Raw,,ECMP,,,,,,,150.7760000000001
CDF_Raw,,ECMP,,,,,,,150.90399999999994
CDF_Raw,,ECMP,,,,,,,150.90399999999994
CDF_Raw,,ECMP,,,,,,,150.90399999999994
CDF_Raw,,ECMP,,,,,,,150.90399999999994
CDF_Raw,,ECMP,,,,,,,150.9040000000001
CDF_Raw,,ECMP,,,,,,,151.03199999999995
CDF_Raw,,ECMP,,,,,,,151.03199999999995
CDF_Raw,,ECMP,,,,,,,151.03199999999995
CDF_Raw,,ECMP,,,,,,,151.03199999999995
CDF_Raw,,ECMP,,,,,,,151.0320000000001
CDF_Raw,,ECMP,,,,,,,151.15999999999997
CDF_Raw,,ECMP,,,,,,,151.15999999999997
CDF_Raw,,ECMP,,,,,,,151.15999999999997
CDF_Raw,,ECMP,,,,,,,151.15999999999997
CDF_Raw,,ECMP,,,,,,,151.28799999999995
CDF_Raw,,ECMP,,,,,,,151.28799999999995
CDF_Raw,,ECMP,,,,,,,151.28799999999995
CDF_Raw,,ECMP,,,,,,,151.28799999999995
CDF_Raw,,ECMP,,,,,,,151.41599999999997
CDF_Raw,,ECMP,,,,,,,151.41599999999997
CDF_Raw,,ECMP,,,,,,,151.41599999999997
CDF_Raw,,ECMP,,,,,,,151.41599999999997
CDF_Raw,,ECMP,,,,,,,151.54399999999998
CDF_Raw,,ECMP,,,,,,,151.54399999999998
CDF_Raw,,ECMP,,,,,,,151.54399999999998
CDF_Raw,,ECMP,,,,,,,151.54399999999998
CDF_Raw,,ECMP,,,,,,,151.672
CDF_Raw,,ECMP,,,,,,,151.672
CDF_Raw,,ECMP,,,,,,,151.672
CDF_Raw,,ECMP,,,,,,,151.672
CDF_Raw,,ECMP,,,,,,,151.8
CDF_Raw,,ECMP,,,,,,,151.8
CDF_Raw,,ECMP,,,,,,,151.8
CDF_Raw,,ECMP,,,,,,,151.8
CDF_Raw,,ECMP,,,,,,,151.92800000000003
CDF_Raw,,ECMP,,,,,,,151.92800000000003
CDF_Raw,,ECMP,,,,,,,151.92800000000003
CDF_Raw,,ECMP,,,,,,,151.92800000000003
CDF_Raw,,ECMP,,,,,,,152.056
CDF_Raw,,ECMP,,,,,,,152.056
CDF_Raw,,ECMP,,,,,,,152.056
CDF_Raw,,ECMP,,,,,,,152.056
CDF_Raw,,ECMP,,,,,,,152.11199999999997
CDF_Raw,,ECMP,,,,,,,152.18400000000003
CDF_Raw,,ECMP,,,,,,,152.18400000000003
CDF_Raw,,ECMP,,,,,,,152.18400000000003
CDF_Raw,,ECMP,,,,,,,152.18400000000003
CDF_Raw,,ECMP,,,,,,,152.23999999999995
CDF_Raw,,ECMP,,,,,,,152.31200000000004
CDF_Raw,,ECMP,,,,,,,152.31200000000004
CDF_Raw,,ECMP,,,,,,,152.31200000000004
CDF_Raw,,ECMP,,,,,,,152.31200000000004
CDF_Raw,,ECMP,,,,,,,152.36799999999997
CDF_Raw,,ECMP,,,,,,,152.44000000000005
CDF_Raw,,ECMP,,,,,,,152.44000000000005
CDF_Raw,,ECMP,,,,,,,152.44000000000005
CDF_Raw,,ECMP,,,,,,,152.44000000000005
CDF_Raw,,ECMP,,,,,,,152.49599999999998
CDF_Raw,,ECMP,,,,,,,152.56800000000007
CDF_Raw,,ECMP,,,,,,,152.56800000000007
CDF_Raw,,ECMP,,,,,,,152.56800000000007
CDF_Raw,,ECMP,,,,,,,152.56800000000007
CDF_Raw,,ECMP,,,,,,,152.624
CDF_Raw,,ECMP,,,,,,,152.69600000000008
CDF_Raw,,ECMP,,,,,,,152.69600000000008
CDF_Raw,,ECMP,,,,,,,152.69600000000008
CDF_Raw,,ECMP,,,,,,,152.69600000000008
CDF_Raw,,ECMP,,,,,,,152.752
CDF_Raw,,ECMP,,,,,,,152.82400000000007
CDF_Raw,,ECMP,,,,,,,152.82400000000007
CDF_Raw,,ECMP,,,,,,,152.82400000000007
CDF_Raw,,ECMP,,,,,,,152.82400000000007
CDF_Raw,,ECMP,,,,,,,152.88000000000002
CDF_Raw,,ECMP,,,,,,,153.008
CDF_Raw,,ECMP,,,,,,,153.13600000000002
CDF_Raw,,ECMP,,,,,,,153.26400000000004
CDF_Raw,,ECMP,,,,,,,153.39200000000005
CDF_Raw,,ECMP,,,,,,,153.52000000000007
CDF_Raw,,ECMP,,,,,,,153.64800000000008
CDF_Raw,,ECMP,,,,,,,153.77600000000007
CDF_Raw,,ECMP,,,,,,,153.90400000000008
CDF_Raw,,ECMP,,,,,,,154.0320000000001
CDF_Raw,,ECMP,,,,,,,154.328
CDF_Raw,,ECMP,,,,,,,154.456
CDF_Raw,,ECMP,,,,,,,156.0159999999999
CDF_Raw,,ECMP,,,,,,,156.14399999999992
CDF_Raw,,ECMP,,,,,,,156.2719999999999
CDF_Raw,,ECMP,,,,,,,156.39999999999992
CDF_Raw,,ECMP,,,,,,,156.52799999999993
CDF_Raw,,ECMP,,,,,,,156.65599999999995
CDF_Raw,,ECMP,,,,,,,156.78399999999996
CDF_Raw,,ECMP,,,,,,,156.91199999999998
CDF_Raw,,ECMP,,,,,,,157.03999999999996
CDF_Raw,,ECMP,,,,,,,157.16799999999998
CDF_Raw,,ECMP,,,,,,,157.296
CDF_Raw,,ECMP,,,,,,,157.424
CDF_Raw,,ECMP,,,,,,,157.584
CDF_Raw,,ECMP,,,,,,,157.71200000000002
CDF_Raw,,ECMP,,,,,,,157.84000000000003
CDF_Raw,,ECMP,,,,,,,157.96800000000002
CDF_Raw,,ECMP,,,,,,,158.09600000000003
CDF_Raw,,ECMP,,,,,,,158.22400000000005
CDF_Raw,,ECMP,,,,,,,158.35200000000006
CDF_Raw,,ECMP,,,,,,,158.48000000000008
CDF_Raw,,ECMP,,,,,,,158.6080000000001
CDF_Raw,,ECMP,,,,,,,158.73600000000008
CDF_Raw,,ECMP,,,,,,,158.8640000000001
CDF_Raw,,ECMP,,,,,,,158.9920000000001
CDF_Raw,,ECMP,,,,,,,159.12000000000012
CDF_Raw,,ECMP,,,,,,,159.24800000000013
CDF_Raw,,ECMP,,,,,,,159.39999999999992
CDF_Raw,,ECMP,,,,,,,162.5279999999999
CDF_Raw,,ECMP,,,,,,,162.65599999999992
CDF_Raw,,ECMP,,,,,,,162.78399999999993
CDF_Raw,,ECMP,,,,,,,162.91199999999995
CDF_Raw,,ECMP,,,,,,,163.03999999999996
CDF_Raw,,ECMP,,,,,,,163.16799999999998
CDF_Raw,,ECMP,,,,,,,163.29599999999996
CDF_Raw,,ECMP,,,,,,,163.42399999999998
CDF_Raw,,ECMP,,,,,,,163.552
CDF_Raw,,ECMP,,,,,,,163.68
CDF_Raw,,ECMP,,,,,,,163.80800000000002
CDF_Raw,,ECMP,,,,,,,163.93600000000004
CDF_Raw,,ECMP,,,,,,,164.06400000000002
CDF_Raw,,ECMP,,,,,,,164.19200000000004
CDF_Raw,,ECMP,,,,,,,164.32000000000005
CDF_Raw,,ECMP,,,,,,,172.32799999999995
CDF_Raw,,ECMP,,,,,,,172.45599999999996
CDF_Raw,,ECMP,,,,,,,172.58399999999995
CDF_Raw,,ECMP,,,,,,,172.71199999999996
CDF_Raw,,ECMP,,,,,,,172.83999999999997
CDF_Raw,,ECMP,,,,,,,172.968
CDF_Raw,,ECMP,,,,,,,173.096
CDF_Raw,,ECMP,,,,,,,173.22400000000002
CDF_Raw,,ECMP,,,,,,,173.352
CDF_Raw,,ECMP,,,,,,,173.48000000000002
CDF_Raw,,ECMP,,,,,,,173.60800000000003
CDF_Raw,,ECMP,,,,,,,175.32799999999992
CDF_Raw,,ECMP,,,,,,,175.45599999999993
CDF_Raw,,ECMP,,,,,,,175.58399999999995
CDF_Raw,,ECMP,,,,,,,175.71199999999996
CDF_Raw,,ECMP,,,,,,,175.83999999999997
CDF_Raw,,ECMP,,,,,,,175.968
CDF_Raw,,ECMP,,,,,,,176.09599999999998
CDF_Raw,,ECMP,,,,,,,176.224
CDF_Raw,,ECMP,,,,,,,176.352
CDF_Raw,,ECMP,,,,,,,176.35999999999984
CDF_Raw,,ECMP,,,,,,,176.48000000000002
CDF_Raw,,ECMP,,,,,,,176.48799999999986
CDF_Raw,,ECMP,,,,,,,176.60800000000003
CDF_Raw,,ECMP,,,,,,,176.61599999999984
CDF_Raw,,ECMP,,,,,,,176.73600000000005
CDF_Raw,,ECMP,,,,,,,176.74399999999986
CDF_Raw,,ECMP,,,,,,,176.86400000000003
CDF_Raw,,ECMP,,,,,,,176.87199999999987
CDF_Raw,,ECMP,,,,,,,176.99200000000005
CDF_Raw,,ECMP,,,,,,,176.9999999999999
CDF_Raw,,ECMP,,,,,,,177.12000000000006
CDF_Raw,,ECMP,,,,,,,177.1279999999999
CDF_Raw,,ECMP,,,,,,,177.24800000000008
CDF_Raw,,ECMP,,,,,,,177.25599999999991
CDF_Raw,,ECMP,,,,,,,177.3839999999999
CDF_Raw,,ECMP,,,,,,,177.51199999999992
CDF_Raw,,ECMP,,,,,,,177.63999999999993
CDF_Raw,,ECMP,,,,,,,177.76799999999994
CDF_Raw,,ECMP,,,,,,,177.89599999999996
CDF_Raw,,ECMP,,,,,,,178.02399999999997
CDF_Raw,,ECMP,,,,,,,178.15199999999996
CDF_Raw,,ECMP,,,,,,,178.27999999999997
CDF_Raw,,ECMP,,,,,,,179.73600000000002
CDF_Raw,,ECMP,,,,,,,179.86400000000003
CDF_Raw,,ECMP,,,,,,,179.99200000000005
CDF_Raw,,ECMP,,,,,,,180.12000000000006
CDF_Raw,,ECMP,,,,,,,180.24800000000008
CDF_Raw,,ECMP,,,,,,,204.75199999999992
CDF_Raw,,ECMP,,,,,,,204.8799999999999
CDF_Raw,,ECMP,,,,,,,205.00799999999992
CDF_Raw,,ECMP,,,,,,,205.13599999999994
CDF_Raw,,ECMP,,,,,,,205.26399999999995
CDF_Raw,,ECMP,,,,,,,205.32799999999986
CDF_Raw,,ECMP,,,,,,,205.39199999999997
CDF_Raw,,ECMP,,,,,,,205.51999999999998
CDF_Raw,,ECMP,,,,,,,205.64799999999997
CDF_Raw,,ECMP,,,,,,,205.77599999999998
CDF_Raw,,ECMP,,,,,,,205.904
CDF_Raw,,ECMP,,,,,,,206.032
CDF_Raw,,ECMP,,,,,,,206.16000000000003
CDF_Raw,,ECMP,,,,,,,206.28800000000004
CDF_Raw,,ECMP,,,,,,,206.41600000000003
CDF_Raw,,ECMP,,,,,,,206.54400000000004
CDF_Raw,,ECMP,,,,,,,206.67200000000005
CDF_Raw,,ECMP,,,,,,,212.5119999999998
CDF_Raw,,ECMP,,,,,,,212.63999999999982
CDF_Raw,,ECMP,,,,,,,212.76799999999983
CDF_Raw,,ECMP,,,,,,,212.89599999999982
CDF_Raw,,ECMP,,,,,,,213.02399999999983
CDF_Raw,,ECMP,,,,,,,213.15199999999984
CDF_Raw,,ECMP,,,,,,,213.27999999999986
CDF_Raw,,ECMP,,,,,,,213.40799999999987
CDF_Raw,,ECMP,,,,,,,213.5359999999999
CDF_Raw,,ECMP,,,,,,,213.66399999999987
CDF_Raw,,ECMP,,,,,,,213.7519999999999
CDF_Raw,,ECMP,,,,,,,213.7919999999999
CDF_Raw,,ECMP,,,,,,,213.8799999999999
CDF_Raw,,ECMP,,,,,,,213.9199999999999
CDF_Raw,,ECMP,,,,,,,214.0079999999999
CDF_Raw,,ECMP,,,,,,,214.04799999999992
CDF_Raw,,ECMP,,,,,,,214.1359999999999
CDF_Raw,,ECMP,,,,,,,214.17599999999993
CDF_Raw,,ECMP,,,,,,,214.26399999999992
CDF_Raw,,ECMP,,,,,,,214.30399999999995
CDF_Raw,,ECMP,,,,,,,214.39199999999994
CDF_Raw,,ECMP,,,,,,,214.43199999999993
CDF_Raw,,ECMP,,,,,,,214.51999999999995
CDF_Raw,,ECMP,,,,,,,214.64799999999997
CDF_Raw,,ECMP,,,,,,,214.77599999999995
CDF_Raw,,ECMP,,,,,,,214.80800000000002
CDF_Raw,,ECMP,,,,,,,214.90399999999997
